AGE,GENDER,MARITAL_STATUS,GROSS_ANNUAL_INCOME,EDUCATION,OCCUPATION,CASH,EQUITY,INSURANCE,FIXED_DEPOSIT,GOLD,MUTUAL_FUNDS,BEH,RP1,RP2,RP3,RA1,RA2,RA3,FQPB,PBC1,PBC2,PBC3,PBC4,GOAL,BI1,BI2
3,2,2,5,4,2,6,6,6,2,4,1,1,5,2,3,4,5,3,7,5,6,6,5,243,7,6
3,2,1,4,3,2,6,3,5,1,4,2,2,5,3,5,1,2,1,7,7,7,7,7,142,7,7
4,2,2,5,4,2,5,1,3,3,3,2,2,3,2,1,1,5,2,5,5,6,6,5,327,6,5
3,2,2,6,4,2,4,3,2,2,1,4,4,3,5,4,6,2,2,2,4,4,4,5,864,1,1
3,2,2,5,4,2,4,1,4,2,2,3,3,2,3,2,5,3,3,6,3,5,3,3,832,3,2
3,2,2,5,4,2,2,3,3,6,1,6,6,4,3,3,5,4,3,1,5,5,5,5,825,3,3
4,2,2,5,4,3,4,4,4,4,4,4,4,2,2,2,2,6,2,4,5,5,5,5,8,4,5
3,2,2,5,4,2,6,4,3,3,4,3,3,3,4,4,3,5,3,3,2,3,5,3,421,6,3
3,2,1,5,4,2,1,3,1,1,1,3,3,5,5,5,5,5,5,1,7,7,7,7,4,6,6
3,2,2,6,4,3,2,2,6,4,1,2,2,5,3,5,2,2,2,3,6,7,7,7,15,5,5
3,2,2,6,4,2,6,1,6,1,2,6,6,2,4,4,1,7,1,1,6,2,6,6,531,2,2
3,2,2,1,3,2,4,4,4,4,4,4,4,6,6,6,6,7,4,3,6,6,5,7,624,5,6
5,2,2,6,4,3,5,1,4,5,2,1,1,1,1,1,5,2,1,7,7,7,7,7,814,7,7
3,1,2,2,4,1,2,1,2,1,1,1,1,3,4,4,7,7,6,6,7,7,7,7,264,7,7
3,1,2,2,3,5,2,6,3,1,3,4,4,4,6,5,6,7,6,4,6,5,6,6,567,6,6
3,2,2,2,4,2,2,1,1,1,1,2,2,7,7,7,6,5,7,6,7,7,7,7,346,6,7
4,2,2,2,3,3,1,2,1,1,1,1,1,1,1,2,7,6,7,6,7,7,7,7,287,7,4
2,2,2,2,4,2,2,6,2,1,4,1,1,1,1,1,6,4,5,7,6,7,7,7,284,4,5
3,2,2,3,4,2,3,6,5,4,5,5,5,7,6,5,5,2,1,3,5,6,5,7,412,6,6
3,2,2,2,4,2,1,1,1,1,1,2,2,7,7,7,7,6,7,5,7,7,7,7,826,6,6
3,2,2,2,4,2,1,1,1,1,1,2,2,1,1,1,7,6,6,7,7,7,7,7,386,7,1
3,2,2,2,4,2,6,5,1,6,6,6,6,7,7,7,7,6,7,6,7,7,7,7,642,7,7
4,2,2,4,4,1,4,6,5,1,2,5,5,5,5,1,2,6,3,4,6,7,7,7,371,7,7
4,2,2,2,3,3,1,2,1,1,1,1,1,1,1,1,7,6,7,7,7,7,7,7,278,7,7
3,2,2,2,4,2,5,6,5,6,5,1,1,7,6,7,6,7,7,6,7,7,7,7,128,6,7
2,2,2,3,4,2,3,4,2,1,4,1,1,1,1,1,3,2,2,7,7,7,6,7,843,7,6
4,2,2,2,2,2,1,2,1,1,2,1,1,1,2,1,7,7,7,7,7,6,7,7,847,7,7
2,2,1,4,1,6,1,2,1,2,1,1,1,2,2,2,7,7,7,7,7,7,7,7,385,7,7
3,2,2,3,3,3,1,5,3,5,4,1,1,1,1,2,4,1,2,6,7,7,7,7,876,7,6
3,2,2,2,3,2,2,1,1,1,1,1,1,1,1,3,7,7,7,5,7,7,7,7,247,7,7
5,2,2,2,4,2,5,6,6,6,6,4,4,7,7,7,7,7,7,5,7,7,7,7,624,7,7
3,2,2,4,2,3,1,1,2,1,1,1,1,1,1,1,7,7,7,7,7,7,7,7,281,7,7
3,2,2,2,3,1,2,4,3,1,3,1,1,1,1,1,2,6,2,6,7,7,7,6,78,7,6
2,1,2,2,3,2,1,2,3,2,5,1,1,1,1,1,4,3,5,7,7,7,7,6,374,7,6
3,1,2,2,4,2,2,3,3,1,6,1,1,2,2,2,1,1,2,5,7,7,6,7,63,7,7
3,2,2,2,4,2,2,2,4,1,3,1,1,1,1,1,5,1,5,7,7,7,7,6,372,6,6
5,2,2,2,3,2,1,1,1,1,1,1,1,2,1,1,7,7,7,7,7,7,7,6,487,7,7
3,2,1,2,3,2,1,4,3,1,5,1,1,5,6,1,4,5,3,5,7,7,6,7,738,7,7
2,2,1,2,3,6,1,1,1,1,1,1,1,1,1,1,7,6,7,6,7,7,7,6,764,7,7
4,2,2,2,3,3,1,1,1,1,1,1,1,1,2,2,7,6,6,7,7,7,7,7,487,7,7
3,2,2,2,4,2,3,4,1,2,5,2,2,1,2,1,6,2,3,6,7,6,6,7,374,7,5
4,1,2,2,2,5,1,1,1,1,1,1,1,1,1,1,7,7,6,6,7,7,7,6,172,7,7
3,2,2,2,3,1,1,1,1,1,1,1,1,1,1,1,7,5,6,6,7,7,7,7,287,7,7
3,2,2,3,4,2,5,3,1,2,2,1,1,1,1,1,3,1,5,7,7,6,5,7,243,5,5
3,2,2,3,4,2,3,3,1,2,2,1,1,1,1,1,3,4,6,6,7,7,6,6,486,6,6
3,2,2,2,4,2,3,3,1,1,4,1,1,1,1,1,6,1,1,6,7,7,6,6,243,5,6
2,1,2,2,4,2,2,2,2,3,4,2,2,1,1,1,4,1,5,6,7,6,6,6,643,5,5
