AGE,GENDER,MARITAL_STATUS,GROSS_ANNUAL_INCOME,EDUCATION,OCCUPATION,CASH,EQUITY,INSURANCE,FIXED_DEPOSIT,GOLD,MUTUAL_FUNDS,BEH,RP1,RP2,RP3,RA1,RA2,RA3,FQPB,PBC1,PBC2,PBC3,PBC4,GOAL,BI1,BI2,RA_total,RP_total,PBC_total,BI_total,GOAL_scaled,RA_total_scaled,RP_total_scaled,PBC_total_scaled,BI_total_scaled,FQPB_scaled,GENDER_encoded,EDUCATION_encoded,OCCUPATION_encoded,MARITAL_STATUS_encoded
3,2,2,5,3,2,2,3,6,2,3,2,2,5,3,3,5,5,5,5,5,6,5,6,67,6,5,15,11,22,11,-1.1079945877405064,0.46589705064934767,0.3540320704084571,-0.17340822646545023,0.050362050355412635,0.02774074196174343,1,2,1,1
3,2,2,6,4,2,2,1,3,2,4,4,4,4,6,6,2,2,2,1,6,2,7,2,123,2,2,6,16,17,4,-0.9062390527268072,-1.507039625459737,1.401273789169138,-1.2714872653110432,-2.354831999682909,-2.105774503459621,1,3,1,1
3,2,2,6,4,2,3,3,3,1,6,2,2,5,4,4,3,2,5,6,6,7,5,6,18,7,7,10,13,24,14,-1.2845306808774932,-0.630178880522366,0.7729287579127294,0.26582338907278696,1.0811595003718362,0.5611195533170845,1,3,1,1
3,2,2,6,4,2,3,1,4,4,4,6,6,5,3,5,6,2,6,1,7,7,7,7,1,5,5,14,13,28,10,-1.3457778968637948,0.24668186441500492,0.7729287579127294,1.1442866201492612,-0.29323709965006184,-2.105774503459621,1,3,1,1
3,2,2,6,4,2,3,2,1,2,2,3,3,5,5,4,4,2,3,2,6,6,6,5,681,6,6,9,14,23,12,1.104110742588267,-0.8493940667567087,0.9823771016648657,0.04620758130366836,0.3939612003608871,-1.5723956921042799,1,3,1,1
4,2,2,6,4,2,3,6,2,3,2,2,2,4,5,2,6,7,6,6,7,3,3,7,158,6,6,19,11,20,12,-0.7801418433432452,1.3427577955867187,0.3540320704084571,-0.6126398420036874,0.3939612003608871,0.5611195533170845,1,3,1,1
3,2,2,5,4,2,5,2,4,5,4,1,1,4,2,5,2,6,2,6,4,5,6,6,42,6,6,10,11,21,12,-1.1980640230144792,-0.630178880522366,0.3540320704084571,-0.39302403423456883,0.3939612003608871,0.5611195533170845,1,3,1,1
4,2,2,5,4,2,6,3,3,5,3,2,2,6,4,3,3,2,2,6,5,6,6,5,514,7,6,7,13,22,13,0.5024469149581283,-1.2878244392253941,0.7729287579127294,-0.17340822646545023,0.7375603503663616,0.5611195533170845,1,3,1,1
4,1,2,6,4,2,4,1,2,6,5,3,3,6,5,5,6,2,5,7,6,6,6,6,175,6,6,13,16,24,12,-0.7188946273569436,0.0274666781806622,1.401273789169138,0.26582338907278696,0.3939612003608871,1.0944983646724256,0,3,1,1
4,2,2,6,4,2,5,5,5,1,2,4,4,2,1,2,6,7,6,2,6,7,7,7,81,2,2,19,5,27,4,-1.0575557039870815,1.3427577955867187,-0.90265799210436,0.9246708123801427,-2.354831999682909,-1.5723956921042799,1,3,1,1
3,2,2,2,4,3,5,3,2,1,6,4,4,3,4,5,4,5,2,3,5,6,7,7,174,5,5,11,12,25,10,-0.7224974047679026,-0.41096369428802326,0.5634804141605932,0.4854391968419055,-0.29323709965006184,-1.0390168807489388,1,3,2,1
4,2,2,5,4,7,6,6,3,1,3,6,6,2,3,6,7,6,6,1,7,7,5,4,754,7,6,19,11,23,13,1.3671134935882678,1.3427577955867187,0.3540320704084571,0.04620758130366836,0.7375603503663616,-2.105774503459621,1,3,6,1
3,2,2,5,4,2,3,5,2,1,5,2,2,3,3,2,5,4,3,7,5,6,6,5,125,7,6,12,8,22,13,-0.8990334979048893,-0.19174850805368054,-0.2743129608479515,-0.17340822646545023,0.7375603503663616,1.0944983646724256,1,3,1,1
4,2,2,5,4,2,2,5,5,1,2,5,5,5,4,6,6,6,2,3,2,2,6,5,17,3,4,14,15,15,7,-1.288133458288452,0.24668186441500492,1.1918254454170019,-1.7107188808492804,-1.3240345496664854,-1.0390168807489388,1,3,1,1
3,2,2,6,4,2,6,6,3,1,2,3,3,6,4,4,3,2,6,4,6,6,6,5,137,6,6,11,14,23,12,-0.8558001689733824,-0.41096369428802326,0.9823771016648657,0.04620758130366836,0.3939612003608871,-0.5056380693935977,1,3,1,1
3,1,2,6,4,2,3,3,3,2,1,1,1,3,2,5,3,1,2,7,5,7,7,4,712,7,7,6,10,23,14,1.2157968423279935,-1.507039625459737,0.14458372665632088,0.04620758130366836,1.0811595003718362,1.0944983646724256,0,3,1,1
3,2,2,5,4,2,5,3,3,6,6,1,1,3,2,1,3,5,5,7,4,6,6,6,217,5,5,13,6,22,10,-0.5675779760966693,0.0274666781806622,-0.6932096483522239,-0.17340822646545023,-0.29323709965006184,1.0944983646724256,1,3,1,1
